run_name,dataset_label,pair_count,group_label,eval_variant,eval_checkpoint,decode,external_bleu,indomain_bleu
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_20260309T185602Z,Gold Legacy 1280,1280,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,27.2071,47.1364
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_20260308T164813Z,Gold Legacy 1280,1280,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,27.1978,48.7992
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_20260308T164813Z,Gold Legacy 1280,1280,stage_a__checkpoint-008000,stage_a,checkpoint-008000,greedy,27.1562,47.9571
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2560_bf16_20260309T195639Z,train_pairs.rows2560.merged.jsonl,2560,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,27.1509,44.6716
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows2560_bf16_20260309T022454Z,,,stage_a__checkpoint-001500,stage_a,checkpoint-001500,greedy,27.1233,43.7387
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_20260308T164813Z,Gold Legacy 1280,1280,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,27.0143,47.2797
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1280_bf16_20260308T164813Z,Gold Legacy 1280,1280,stage_a__checkpoint-006000,stage_a,checkpoint-006000,greedy,26.9558,48.2256
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T001204Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-004001,stage_a,checkpoint-004001,greedy,26.8830,46.5402
translategemma4b_es_en_gemma3_1b_full_train1280_20260303_114100,Gold Legacy 1280,1280,stage_a__checkpoint-032000,stage_a,checkpoint-032000,sampled,26.8719,46.2854
translategemma4b_es_en_gemma3_1b_stagea_goldlegacy1280_bf16_20260307T231031Z,Gold Legacy 1280,1280,stage_a__checkpoint-008000,stage_a,checkpoint-008000,greedy,26.4766,47.6425
translategemma4b_es_en_gemma3_1b_full_train1280_20260303_114100,Gold Legacy 1280,1280,stage_a__checkpoint-032000,stage_a,checkpoint-032000,greedy,26.3488,46.9378
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260310T005321Z,train_pairs.rows1920.merged.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,26.2465,46.5905
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260308T164813Z,gold_quality_4x640.train_3x640.jsonl,1920,stage_a__checkpoint-002000,stage_a,checkpoint-002000,greedy,26.0284,47.9813
translategemma4b_es_en_gemma3_1b_stagea_goldlegacy1280_bf16_20260307T231031Z,Gold Legacy 1280,1280,stage_a__checkpoint-016000,stage_a,checkpoint-016000,greedy,25.9958,47.4291
translategemma4b_es_en_gemma3_1b_stagea_goldlegacy1280_bf16_20260307T231031Z,Gold Legacy 1280,1280,stage_a__checkpoint-032000,stage_a,checkpoint-032000,greedy,25.9377,47.3434
translategemma4b_es_en_gemma3_1b_stagea_goldlegacy1280_bf16_20260307T231031Z,Gold Legacy 1280,1280,stage_a__checkpoint-024000,stage_a,checkpoint-024000,greedy,25.7862,47.4261
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260308T164813Z,gold_quality_4x640.train_3x640.jsonl,1920,stage_a__checkpoint-006000,stage_a,checkpoint-006000,greedy,25.4584,46.8090
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260308T164813Z,gold_quality_4x640.train_3x640.jsonl,1920,stage_a__checkpoint-008000,stage_a,checkpoint-008000,greedy,25.1820,46.7597
translategemma4b_es_en_gemma3_1b_stagea_goldgrid_rows1920_bf16_20260308T164813Z,gold_quality_4x640.train_3x640.jsonl,1920,stage_a__checkpoint-004000,stage_a,checkpoint-004000,greedy,24.7623,46.3742
baseline__google__translategemma-4b-it__2026-03-10T014945Z,,,default,,,greedy,22.6563,35.6382
translategemma4b_es_en_gemma3_1b_full_train1280_20260303_114100,Gold Legacy 1280,1280,final,final,,sampled,7.9262,19.3169
translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210,Merged Full 17532,17532,stage_b__checkpoint-002000,stage_b,checkpoint-002000,greedy,7.9159,87.3266
translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210,Merged Full 17532,17532,stage_a__checkpoint-012000,stage_a,checkpoint-012000,greedy,7.0652,86.5173
translategemma4b_es_en_gemma3_1b_full_train1280_20260303_114100,Gold Legacy 1280,1280,final,final,,greedy,6.5945,18.7825
translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210,Merged Full 17532,17532,stage_a__checkpoint-032000,stage_a,checkpoint-032000,greedy,6.4642,87.4218
translategemma4b_es_en_gemma3_1b_full_train17532_real1b_20260305_210210,Merged Full 17532,17532,stage_a__checkpoint-022000,stage_a,checkpoint-022000,greedy,5.6350,87.1698
baseline__google__gemma-3-1b-it__2026-03-10T020400Z,,,final,final,,greedy,0.0285,1.2862
